Scientific_Name,Genus,Species 
Rosa blanda,Rosa,blanda
Rosa blanda × R. carolina = R. ×gilmaniana,Rosa,blanda × R. carolina = R. ×gilmaniana
Rosa blanda × R. palustris = R. ×palustriformis,Rosa,blanda × R. palustris = R. ×palustriformis
Rosa blanda × R. virginiana = R. ×hainesii,Rosa,blanda × R. virginiana = R. ×hainesii
Rosa canina,Rosa,canina
Rosa carolina,Rosa,carolina
Rosa carolina × R. virginiana = R. ×novae-angliae,Rosa,carolina × R. virginiana = R. ×novae-angliae
Rosa carolina ssp. carolina,Rosa,carolina
Rosa carolina ssp. subserrulata,Rosa,carolina
Rosa cinnamomea,Rosa,cinnamomea
Rosa gallica,Rosa,gallica
Rosa glauca,Rosa,glauca
Rosa lucieae,Rosa,lucieae
Rosa micrantha,Rosa,micrantha
Rosa multiflora,Rosa,multiflora
Rosa palustris,Rosa,palustris
Rosa rubiginosa,Rosa,rubiginosa
Rosa rugosa,Rosa,rugosa
Rosa rugosa × R. ? = R. ×hollandica,Rosa,rugosa × R. ? = R. ×hollandica
Rosa setigera,Rosa,setigera
Rosa spinosissima,Rosa,spinosissima
Rosa villosa,Rosa,villosa
Rosa virginiana,Rosa,virginiana
Rostraria cristata,Rostraria,cristata
Rotala ramosior,Rotala,ramosior
Rubia tinctorum,Rubia,tinctorum
Rubus allegheniensis,Rubus,allegheniensis
Rubus bifrons,Rubus,bifrons
Rubus caesius,Rubus,caesius
Rubus canadensis,Rubus,canadensis
Rubus chamaemorus,Rubus,chamaemorus
Rubus cuneifolius,Rubus,cuneifolius
Rubus flagellaris,Rubus,flagellaris
Rubus hispidus,Rubus,hispidus
Rubus idaeus,Rubus,idaeus
Rubus idaeus ssp. idaeus,Rubus,idaeus
Rubus idaeus ssp. strigosus,Rubus,idaeus
Rubus idaeus ssp. strigosus × R. occidentalis = R. ×neglectus,Rubus,idaeus ssp. strigosus × R. occidentalis = R. ×neglectus
Rubus illecebrosus,Rubus,illecebrosus
Rubus laciniatus,Rubus,laciniatus
Rubus occidentalis,Rubus,occidentalis
Rubus odoratus,Rubus,odoratus
Rubus parvifolius,Rubus,parvifolius
Rubus pascuus,Rubus,pascuus
Rubus pensilvanicus,Rubus,pensilvanicus
Rubus phoenicolasius,Rubus,phoenicolasius
Rubus pubescens,Rubus,pubescens
Rubus repens,Rubus,repens
Rubus setosus,Rubus,setosus
Rubus ulmifolius,Rubus,ulmifolius
Rudbeckia fulgida,Rudbeckia,fulgida
Rudbeckia fulgida var. speciosa,Rudbeckia,fulgida
Rudbeckia fulgida var. sullivantii,Rudbeckia,fulgida
Rudbeckia hirta,Rudbeckia,hirta
Rudbeckia laciniata var. laciniata,Rudbeckia,laciniata
Rudbeckia subtomentosa,Rudbeckia,subtomentosa
Rudbeckia triloba var. triloba,Rudbeckia,triloba
Ruellia humilis,Ruellia,humilis
Rumex acetosa,Rumex,acetosa
Rumex acetosella ssp. pyrenaicus,Rumex,acetosella
Rumex altissimus,Rumex,altissimus
Rumex britannica,Rumex,britannica
Rumex britannica × R. crispus = R. ×dissimilis,Rumex,britannica × R. crispus = R. ×dissimilis
Rumex conglomeratus,Rumex,conglomeratus
Rumex crispus × R. obtusifolius = R. ×pratensis,Rumex,crispus × R. obtusifolius = R. ×pratensis
Rumex crispus × R. patientia = R. ×confusus,Rumex,crispus × R. patientia = R. ×confusus
Rumex crispus ssp. crispus,Rumex,crispus
Rumex cristatus,Rumex,cristatus
Rumex fueginus,Rumex,fueginus
Rumex hastatulus,Rumex,hastatulus
Rumex longifolius,Rumex,longifolius
Rumex obtusifolius ssp. obtusifolius,Rumex,obtusifolius
Rumex pallidus,Rumex,pallidus
Rumex patientia,Rumex,patientia
Rumex persicarioides,Rumex,persicarioides
Rumex pulcher,Rumex,pulcher
Rumex triangulivalvis,Rumex,triangulivalvis
Rumex verticillatus,Rumex,verticillatus
Ruppia maritima,Ruppia,maritima
Ruta graveolens,Ruta,graveolens
Sabatia angularis,Sabatia,angularis
Sabatia campanulata,Sabatia,campanulata
Sabatia dodecandra var. dodecandra,Sabatia,dodecandra
Sabatia stellaris,Sabatia,stellaris
Sabulina michauxii var. michauxii,Sabulina,michauxii
Sagina apetala,Sagina,apetala
Sagina decumbens ssp. decumbens,Sagina,decumbens
Sagina japonica,Sagina,japonica
Sagina procumbens,Sagina,procumbens
Sagittaria cuneata,Sagittaria,cuneata
Sagittaria engelmanniana,Sagittaria,engelmanniana
Sagittaria filiformis,Sagittaria,filiformis
Sagittaria graminea ssp. graminea,Sagittaria,graminea
Sagittaria latifolia,Sagittaria,latifolia
Sagittaria rigida,Sagittaria,rigida
Sagittaria spongiosa,Sagittaria,spongiosa
Sagittaria subulata,Sagittaria,subulata
Sagittaria teres,Sagittaria,teres
Salicornia ambigua,Salicornia,ambigua
Salicornia bigelovii,Salicornia,bigelovii
Salicornia depressa,Salicornia,depressa
Salix alba,Salix,alba
Salix alba × S. babylonica = S. ×sepulcralis,Salix,alba × S. babylonica = S. ×sepulcralis
Salix alba × S. euxina = S. ×fragilis,Salix,alba × S. euxina = S. ×fragilis
Salix alba × S. lucida = S. ×jesupii,Salix,alba × S. lucida = S. ×jesupii
Salix amygdaloides,Salix,amygdaloides
Salix babylonica × S. euxina = S. ×pendulina,Salix,babylonica × S. euxina = S. ×pendulina
Salix bebbiana,Salix,bebbiana
Salix candida,Salix,candida
Salix candida × S. eriocephala = S. ×rubella,Salix,candida × S. eriocephala = S. ×rubella
Salix candida × S. petiolaris,Salix,candida × S. petiolaris
Salix caprea,Salix,caprea
Salix cinerea,Salix,cinerea
Salix cinerea ssp. cinerea,Salix,cinerea
Salix cinerea ssp. oleifolia,Salix,cinerea
Salix cordata,Salix,cordata
Salix discolor,Salix,discolor
Salix elaeagnos,Salix,elaeagnos
Salix eriocephala,Salix,eriocephala
Salix eriocephala × S. petiolaris,Salix,eriocephala × S. petiolaris
Salix eriocephala × S. sericea,Salix,eriocephala × S. sericea
Salix euxina × S. pentandra = S. ×meyeriana,Salix,euxina × S. pentandra = S. ×meyeriana
Salix herbacea,Salix,herbacea
Salix humilis,Salix,humilis
Salix humilis var. humilis,Salix,humilis
Salix humilis var. tristis,Salix,humilis
Salix interior,Salix,interior
Salix lucida,Salix,lucida
Salix matsudana,Salix,matsudana
Salix nigra,Salix,nigra
Salix pedicellaris,Salix,pedicellaris
Salix petiolaris,Salix,petiolaris
Salix petiolaris × S. sericea,Salix,petiolaris × S. sericea
Salix purpurea,Salix,purpurea
Salix pyrifolia,Salix,pyrifolia
Salix sericea,Salix,sericea
Salix serissima,Salix,serissima
Salix uva-ursi,Salix,uva-ursi
Salsola collina,Salsola,collina
Salsola kali,Salsola,kali
Salsola kali ssp. kali,Salsola,kali
Salsola kali ssp. pontica,Salsola,kali
Salsola tragus,Salsola,tragus
Salvia azurea var. grandiflora,Salvia,azurea
Salvia glutinosa,Salvia,glutinosa
Salvia lyrata,Salvia,lyrata
Salvia nemorosa,Salvia,nemorosa
Salvia officinalis,Salvia,officinalis
Salvia pratensis,Salvia,pratensis
Salvia reflexa,Salvia,reflexa
Salvia verticillata,Salvia,verticillata
Sambucus ebulus,Sambucus,ebulus
Sambucus nigra ssp. canadensis,Sambucus,nigra
Sambucus racemosa,Sambucus,racemosa
Samolus valerandi,Samolus,valerandi
Sanguinaria canadensis,Sanguinaria,canadensis
Sanguisorba canadensis,Sanguisorba,canadensis
Sanicula canadensis,Sanicula,canadensis
Sanicula canadensis var. canadensis,Sanicula,canadensis
Sanicula canadensis var. grandis,Sanicula,canadensis
Sanicula marilandica,Sanicula,marilandica
Sanicula odorata,Sanicula,odorata
Sanicula trifoliata,Sanicula,trifoliata
Santolina chamaecyparissus,Santolina,chamaecyparissus
Saponaria ocymoides,Saponaria,ocymoides
Saponaria officinalis,Saponaria,officinalis
Sarracenia purpurea,Sarracenia,purpurea
Sassafras albidum,Sassafras,albidum
Satureja hortensis,Satureja,hortensis
Saururus cernuus,Saururus,cernuus
Saxifraga aizoides,Saxifraga,aizoides
Saxifraga oppositifolia ssp. oppositifolia,Saxifraga,oppositifolia
Saxifraga paniculata ssp. paniculata,Saxifraga,paniculata
Scabiosa columbaria,Scabiosa,columbaria
Scandix pecten-veneris,Scandix,pecten-veneris
Schedonorus arundinaceus,Schedonorus,arundinaceus
Schedonorus giganteus,Schedonorus,giganteus
Schedonorus pratensis,Schedonorus,pratensis
Scheuchzeria palustris,Scheuchzeria,palustris
Schizachne purpurascens,Schizachne,purpurascens
Schizachyrium littorale,Schizachyrium,littorale
Schizachyrium scoparium var. scoparium,Schizachyrium,scoparium
Schizaea pusilla,Schizaea,pusilla
Schizanthus pinnatus,Schizanthus,pinnatus
Schkuhria pinnata,Schkuhria,pinnata
Schoenoplectiella mucronata,Schoenoplectiella,mucronata
Schoenoplectiella purshiana var. purshiana,Schoenoplectiella,purshiana
Schoenoplectiella smithii,Schoenoplectiella,smithii
Schoenoplectiella smithii var. setosa,Schoenoplectiella,smithii
Schoenoplectiella smithii var. smithii,Schoenoplectiella,smithii
Schoenoplectus acutus × S. heterochaetus = S. ×oblongus,Schoenoplectus,acutus × S. heterochaetus = S. ×oblongus
Schoenoplectus acutus × S. tabernaemontani,Schoenoplectus,acutus × S. tabernaemontani
Schoenoplectus acutus var. acutus,Schoenoplectus,acutus
Schoenoplectus americanus,Schoenoplectus,americanus
Schoenoplectus heterochaetus,Schoenoplectus,heterochaetus
Schoenoplectus heterochaetus × S. tabernaemontani = S. ×steinmetzii,Schoenoplectus,heterochaetus × S. tabernaemontani = S. ×steinmetzii
Schoenoplectus pungens var. pungens,Schoenoplectus,pungens
Schoenoplectus subterminalis,Schoenoplectus,subterminalis
Schoenoplectus tabernaemontani,Schoenoplectus,tabernaemontani
Schoenoplectus torreyi,Schoenoplectus,torreyi
Schwalbea americana,Schwalbea,americana
Scilla forbesii,Scilla,forbesii
Scilla luciliae,Scilla,luciliae
Scilla siberica,Scilla,siberica
Scirpus ancistrochaetus,Scirpus,ancistrochaetus
Scirpus atrocinctus,Scirpus,atrocinctus
Scirpus atrocinctus × S. cyperinus,Scirpus,atrocinctus × S. cyperinus
Scirpus atrocinctus × S. hattorianus,Scirpus,atrocinctus × S. hattorianus
Scirpus atrovirens,Scirpus,atrovirens
Scirpus atrovirens × S. hattorianus,Scirpus,atrovirens × S. hattorianus
Scirpus atrovirens × S. polyphyllus,Scirpus,atrovirens × S. polyphyllus
Scirpus cyperinus,Scirpus,cyperinus
Scirpus cyperinus × S. pedicellatus,Scirpus,cyperinus × S. pedicellatus
Scirpus expansus,Scirpus,expansus
Scirpus expansus × S. microcarpus,Scirpus,expansus × S. microcarpus
Scirpus georgianus,Scirpus,georgianus
Scirpus hattorianus,Scirpus,hattorianus
Scirpus longii,Scirpus,longii
Scirpus microcarpus,Scirpus,microcarpus
Scirpus pallidus,Scirpus,pallidus
Scirpus pedicellatus,Scirpus,pedicellatus
Scirpus pendulus,Scirpus,pendulus
Scirpus polyphyllus,Scirpus,polyphyllus
Scleranthus annuus ssp. annuus,Scleranthus,annuus
Scleria minor,Scleria,minor
Scleria muehlenbergii,Scleria,muehlenbergii
Scleria pauciflora,Scleria,pauciflora
Scleria reticularis,Scleria,reticularis
Scleria triglomerata,Scleria,triglomerata
Scleria verticillata,Scleria,verticillata
Sclerochloa dura,Sclerochloa,dura
Scolymus hispanicus,Scolymus,hispanicus
Scorzoneroides autumnalis,Scorzoneroides,autumnalis
Scrophularia auriculata,Scrophularia,auriculata
Scrophularia canina,Scrophularia,canina
Scrophularia lanceolata,Scrophularia,lanceolata
Scrophularia marilandica,Scrophularia,marilandica
Scrophularia nodosa,Scrophularia,nodosa
Scutellaria elliptica var. elliptica,Scutellaria,elliptica
Scutellaria galericulata,Scutellaria,galericulata
Scutellaria incana var. incana,Scutellaria,incana
Scutellaria integrifolia,Scutellaria,integrifolia
Scutellaria lateriflora,Scutellaria,lateriflora
Scutellaria nervosa,Scutellaria,nervosa
Scutellaria parvula,Scutellaria,parvula
Scutellaria parvula var. missouriensis,Scutellaria,parvula
Scutellaria parvula var. parvula,Scutellaria,parvula
Scutellaria serrata,Scutellaria,serrata
Secale cereale,Secale,cereale
Securigera varia,Securigera,varia
Sedum acre,Sedum,acre
Sedum album,Sedum,album
Sedum hispanicum,Sedum,hispanicum
Sedum sarmentosum,Sedum,sarmentosum
Sedum sexangulare,Sedum,sexangulare
Sedum ternatum,Sedum,ternatum
Selaginella apoda,Selaginella,apoda
Selaginella eclipes,Selaginella,eclipes
Selaginella rupestris,Selaginella,rupestris
Selinum carvifolia,Selinum,carvifolia
Senecio eremophilus var. kingii,Senecio,eremophilus
Senecio jacobaea,Senecio,jacobaea
Senecio suaveolens,Senecio,suaveolens
Senecio viscosus,Senecio,viscosus
Senecio vulgaris,Senecio,vulgaris
Senna hebecarpa,Senna,hebecarpa
Senna obtusifolia,Senna,obtusifolia
Sericocarpus asteroides,Sericocarpus,asteroides
Sericocarpus linifolius,Sericocarpus,linifolius
Sesamum indicum,Sesamum,indicum
Sesuvium maritimum,Sesuvium,maritimum
Setaria faberi,Setaria,faberi
Setaria italica,Setaria,italica
Setaria parviflora,Setaria,parviflora
Setaria pumila ssp. pumila,Setaria,pumila
Setaria verticillata,Setaria,verticillata
Setaria verticilliformis,Setaria,verticilliformis
Setaria viridis,Setaria,viridis
Setaria viridis var. major,Setaria,viridis
Setaria viridis var. viridis,Setaria,viridis
Shepherdia argentea,Shepherdia,argentea
Shepherdia canadensis,Shepherdia,canadensis
Sibbaldia tridentata,Sibbaldia,tridentata
Sicyos angulatus,Sicyos,angulatus
Sida spinosa,Sida,spinosa
Sidalcea oregana,Sidalcea,oregana
Silene antirrhina,Silene,antirrhina
Silene caroliniana ssp. pensylvanica,Silene,caroliniana
Silene conica ssp. conica,Silene,conica
Silene csereii,Silene,csereii
Silene dichotoma ssp. dichotoma,Silene,dichotoma
Silene dioica,Silene,dioica
Silene dioica × S. latifolia = S. ×hampeana,Silene,dioica × S. latifolia = S. ×hampeana
Silene gallica,Silene,gallica
Silene italica ssp. nemoralis,Silene,italica
Silene latifolia,Silene,latifolia
Silene noctiflora,Silene,noctiflora
Silene nutans,Silene,nutans
Silene pendula,Silene,pendula
Silene stellata,Silene,stellata
Silene virginica,Silene,virginica
Silene vulgaris,Silene,vulgaris
Silphium asteriscus var. trifoliatum,Silphium,asteriscus
Silphium laciniatum,Silphium,laciniatum
Silphium perfoliatum var. perfoliatum,Silphium,perfoliatum
Silphium terebinthinaceum var. terebinthinaceum,Silphium,terebinthinaceum
Silybum marianum,Silybum,marianum
Sinapis alba ssp. alba,Sinapis,alba
Sinapis arvensis,Sinapis,arvensis
Sisymbrium altissimum,Sisymbrium,altissimum
Sisymbrium irio,Sisymbrium,irio
Sisymbrium loeselii,Sisymbrium,loeselii
Sisymbrium officinale,Sisymbrium,officinale
Sisymbrium orientale,Sisymbrium,orientale
Sisyrinchium albidum,Sisyrinchium,albidum
Sisyrinchium angustifolium,Sisyrinchium,angustifolium
Sisyrinchium atlanticum,Sisyrinchium,atlanticum
Sisyrinchium fuscatum,Sisyrinchium,fuscatum
Sisyrinchium montanum,Sisyrinchium,montanum
Sisyrinchium mucronatum,Sisyrinchium,mucronatum
Sium suave,Sium,suave
Smallanthus uvedalia,Smallanthus,uvedalia
Smilax glauca,Smilax,glauca
Smilax herbacea,Smilax,herbacea
Smilax hispida,Smilax,hispida
Smilax lasioneura,Smilax,lasioneura
Smilax pseudochina,Smilax,pseudochina
Smilax pulverulenta,Smilax,pulverulenta
Smilax rotundifolia,Smilax,rotundifolia
Solanum carolinense var. carolinense,Solanum,carolinense
Solanum dulcamara,Solanum,dulcamara
Solanum emulans,Solanum,emulans
Solanum jamesii,Solanum,jamesii
Solanum lycopersicum,Solanum,lycopersicum
Solanum nigrum ssp. nigrum,Solanum,nigrum
Solanum nitidibaccatum,Solanum,nitidibaccatum
Solanum pseudocapsicum,Solanum,pseudocapsicum
Solanum rostratum,Solanum,rostratum
Solanum sarrachoides,Solanum,sarrachoides
Solanum sisymbriifolium,Solanum,sisymbriifolium
Solanum triflorum,Solanum,triflorum
Solanum tuberosum,Solanum,tuberosum
Solidago altissima ssp. altissima,Solidago,altissima
Solidago arguta,Solidago,arguta
Solidago bicolor,Solidago,bicolor
Solidago caesia × S. flexicaulis,Solidago,caesia × S. flexicaulis
Solidago caesia var. caesia,Solidago,caesia
Solidago canadensis,Solidago,canadensis
Solidago canadensis × S. sempervirens = S. ×erskinei,Solidago,canadensis × S. sempervirens = S. ×erskinei
Solidago canadensis var. canadensis,Solidago,canadensis
Solidago canadensis var. hargeri,Solidago,canadensis
Solidago flexicaulis,Solidago,flexicaulis
Solidago gigantea,Solidago,gigantea
Solidago hispida,Solidago,hispida
Solidago houghtonii,Solidago,houghtonii
Solidago juncea,Solidago,juncea
Solidago latissimifolia,Solidago,latissimifolia
Solidago leiocarpa,Solidago,leiocarpa
Solidago macrophylla,Solidago,macrophylla
Solidago mexicana,Solidago,mexicana
Solidago nemoralis ssp. nemoralis,Solidago,nemoralis
Solidago odora,Solidago,odora
Solidago ohioensis,Solidago,ohioensis
Solidago patula,Solidago,patula
Solidago ptarmicoides,Solidago,ptarmicoides
Solidago puberula,Solidago,puberula
Solidago racemosa,Solidago,racemosa
Solidago randii,Solidago,randii
Solidago rigida var. rigida,Solidago,rigida
Solidago rugosa,Solidago,rugosa
Solidago rugosa × S. sempervirens = S. ×asperula,Solidago,rugosa × S. sempervirens = S. ×asperula
Solidago rugosa × S. uliginosa = S. ×beaudryi,Solidago,rugosa × S. uliginosa = S. ×beaudryi
Solidago rugosa var. aspera,Solidago,rugosa
Solidago rugosa var. rugosa,Solidago,rugosa
Solidago rugosa var. sphagnophila,Solidago,rugosa
Solidago sempervirens,Solidago,sempervirens
Solidago speciosa,Solidago,speciosa
Solidago squarrosa,Solidago,squarrosa
Solidago uliginosa,Solidago,uliginosa
Solidago uliginosa var. peracuta,Solidago,uliginosa
Solidago uliginosa var. uliginosa,Solidago,uliginosa
Solidago ulmifolia var. ulmifolia,Solidago,ulmifolia
Sonchus arvensis,Sonchus,arvensis
Sonchus arvensis ssp. arvensis,Sonchus,arvensis
Sonchus arvensis ssp. uliginosus,Sonchus,arvensis
Sonchus asper,Sonchus,asper
Sonchus oleraceus,Sonchus,oleraceus
Sonchus tenerrimus,Sonchus,tenerrimus
Sorbaria sorbifolia,Sorbaria,sorbifolia
Sorbus americana,Sorbus,americana
Sorbus aucuparia,Sorbus,aucuparia
Sorbus decora,Sorbus,decora
Sorghastrum nutans,Sorghastrum,nutans
Sorghum bicolor,Sorghum,bicolor
Sorghum bicolor ssp. bicolor,Sorghum,bicolor
Sorghum bicolor ssp. drummondii,Sorghum,bicolor
Sorghum halepense,Sorghum,halepense
Sparganium americanum,Sparganium,americanum
Sparganium androcladum,Sparganium,androcladum
Sparganium angustifolium,Sparganium,angustifolium
Sparganium chlorocarpum,Sparganium,chlorocarpum
Sparganium eurycarpum,Sparganium,eurycarpum
Sparganium fluctuans,Sparganium,fluctuans
Sparganium natans,Sparganium,natans
Spergula arvensis,Spergula,arvensis
Spergula morisonii,Spergula,morisonii
Spergularia canadensis var. canadensis,Spergularia,canadensis
Spergularia marina,Spergularia,marina
Spergularia media var. media,Spergularia,media
Spergularia rubra,Spergularia,rubra
Sphenopholis intermedia,Sphenopholis,intermedia
Sphenopholis nitida,Sphenopholis,nitida
Sphenopholis obtusata,Sphenopholis,obtusata
Sphenopholis pensylvanica,Sphenopholis,pensylvanica
Spinacia oleracea,Spinacia,oleracea
Spinulum annotinum,Spinulum,annotinum
Spinulum annotinum × S. canadense,Spinulum,annotinum × S. canadense
Spinulum canadense,Spinulum,canadense
Spiraea alba,Spiraea,alba
Spiraea alba × S. douglasii = S. ×billardii,Spiraea,alba × S. douglasii = S. ×billardii
Spiraea alba var. alba,Spiraea,alba
Spiraea alba var. latifolia,Spiraea,alba
Spiraea cantoniensis,Spiraea,cantoniensis
Spiraea cantoniensis × S. trilobata = S. ×vanhouttei,Spiraea,cantoniensis × S. trilobata = S. ×vanhouttei
Spiraea chamaedryfolia,Spiraea,chamaedryfolia
Spiraea douglasii × S. salicifolia = S. ×pseudosalicifolia,Spiraea,douglasii × S. salicifolia = S. ×pseudosalicifolia
Spiraea japonica,Spiraea,japonica
Spiraea prunifolia,Spiraea,prunifolia
Spiraea thunbergii,Spiraea,thunbergii
Spiraea tomentosa,Spiraea,tomentosa
Spiraea trilobata,Spiraea,trilobata
Spiranthes arcisepala,Spiranthes,arcisepala
Spiranthes bightensis,Spiranthes,bightensis
Spiranthes casei var. casei,Spiranthes,casei
Spiranthes cernua,Spiranthes,cernua
Spiranthes incurva,Spiranthes,incurva
Spiranthes lacera,Spiranthes,lacera
Spiranthes lacera var. gracilis,Spiranthes,lacera
Spiranthes lacera var. lacera,Spiranthes,lacera
Spiranthes lucida,Spiranthes,lucida
Spiranthes magnicamporum,Spiranthes,magnicamporum
Spiranthes ochroleuca,Spiranthes,ochroleuca
Spiranthes odorata,Spiranthes,odorata
Spiranthes ovalis var. erostellata,Spiranthes,ovalis
Spiranthes romanzoffiana,Spiranthes,romanzoffiana
Spiranthes tuberosa,Spiranthes,tuberosa
Spiranthes vernalis,Spiranthes,vernalis
Spirobassia hirsuta,Spirobassia,hirsuta
Spirodela polyrhiza,Spirodela,polyrhiza
Sporobolus airoides,Sporobolus,airoides
Sporobolus alterniflorus,Sporobolus,alterniflorus
Sporobolus clandestinus,Sporobolus,clandestinus
Sporobolus compositus var. compositus,Sporobolus,compositus
Sporobolus cryptandrus,Sporobolus,cryptandrus
Sporobolus cynosuroides,Sporobolus,cynosuroides
Sporobolus heterolepis,Sporobolus,heterolepis
Sporobolus indicus,Sporobolus,indicus
Sporobolus michauxianus,Sporobolus,michauxianus
Sporobolus michauxianus × S. pumilus = S. ×eatonianus,Sporobolus,michauxianus × S. pumilus = S. ×eatonianus
Sporobolus neglectus,Sporobolus,neglectus
Sporobolus pumilus,Sporobolus,pumilus
Sporobolus pyramidatus,Sporobolus,pyramidatus
Sporobolus rigidus var. magnus,Sporobolus,rigidus
Sporobolus schoenoides,Sporobolus,schoenoides
Sporobolus vaginiflorus var. vaginiflorus,Sporobolus,vaginiflorus
Stachys annua,Stachys,annua
Stachys arenicola,Stachys,arenicola
Stachys arvensis,Stachys,arvensis
Stachys byzantina,Stachys,byzantina
Stachys hispida,Stachys,hispida
Stachys hyssopifolia var. hyssopifolia,Stachys,hyssopifolia
Stachys palustris,Stachys,palustris
Stachys pilosa,Stachys,pilosa
Stachys recta,Stachys,recta
Stachys sylvatica,Stachys,sylvatica
Stapfochloa ciliata,Stapfochloa,ciliata
Staphylea trifolia,Staphylea,trifolia
Stellaria alsine,Stellaria,alsine
Stellaria aquatica,Stellaria,aquatica
Stellaria borealis × S. longifolia,Stellaria,borealis × S. longifolia
Stellaria borealis ssp. borealis,Stellaria,borealis
Stellaria corei,Stellaria,corei
Stellaria graminea,Stellaria,graminea
Stellaria longifolia,Stellaria,longifolia
Stellaria longipes ssp. longipes,Stellaria,longipes
Stellaria media,Stellaria,media
Stellaria neglecta,Stellaria,neglecta
Stellaria pallida,Stellaria,pallida
Stellaria pubera,Stellaria,pubera
Stenanthium leimanthoides,Stenanthium,leimanthoides
Stephanomeria exigua ssp. coronaria,Stephanomeria,exigua
Streptopus amplexifolius,Streptopus,amplexifolius
Streptopus amplexifolius × S. lanceolatus = S. ×oreopolus,Streptopus,amplexifolius × S. lanceolatus = S. ×oreopolus
Streptopus lanceolatus,Streptopus,lanceolatus
Strigosella africana,Strigosella,africana
Strophostyles helvola,Strophostyles,helvola
Strophostyles umbellata,Strophostyles,umbellata
Stuckenia filiformis,Stuckenia,filiformis
Stuckenia pectinata,Stuckenia,pectinata
Stylophorum diphyllum,Stylophorum,diphyllum
Stylosanthes biflora,Stylosanthes,biflora
Styphnolobium japonicum,Styphnolobium,japonicum
Styrax japonicus,Styrax,japonicus
Suaeda calceoliformis,Suaeda,calceoliformis
Suaeda linearis,Suaeda,linearis
Suaeda maritima ssp. maritima,Suaeda,maritima
Suaeda rolandii,Suaeda,rolandii
Subularia aquatica ssp. americana,Subularia,aquatica
Succisella inflexa,Succisella,inflexa
Symphoricarpos albus,Symphoricarpos,albus
Symphoricarpos albus var. albus,Symphoricarpos,albus
Symphoricarpos albus var. laevigatus,Symphoricarpos,albus
Symphoricarpos occidentalis,Symphoricarpos,occidentalis
Symphoricarpos orbiculatus,Symphoricarpos,orbiculatus
Symphyotrichum boreale,Symphyotrichum,boreale
Symphyotrichum ciliatum,Symphyotrichum,ciliatum
Symphyotrichum ciliolatum,Symphyotrichum,ciliolatum
Symphyotrichum concolor var. concolor,Symphyotrichum,concolor
Symphyotrichum cordifolium,Symphyotrichum,cordifolium
Symphyotrichum cordifolium × S. puniceum = S. ×tardiflorum,Symphyotrichum,cordifolium × S. puniceum = S. ×tardiflorum
Symphyotrichum dumosum,Symphyotrichum,dumosum
Symphyotrichum ericoides × S. novae-angliae = S. ×amethystinum,Symphyotrichum,ericoides × S. novae-angliae = S. ×amethystinum
Symphyotrichum ericoides var. ericoides,Symphyotrichum,ericoides
Symphyotrichum firmum,Symphyotrichum,firmum
Symphyotrichum laeve var. laeve,Symphyotrichum,laeve
Symphyotrichum lanceolatum,Symphyotrichum,lanceolatum
Symphyotrichum lanceolatum var. interior,Symphyotrichum,lanceolatum
Symphyotrichum lanceolatum var. lanceolatum,Symphyotrichum,lanceolatum
Symphyotrichum lateriflorum,Symphyotrichum,lateriflorum
Symphyotrichum lowrieanum,Symphyotrichum,lowrieanum
Symphyotrichum novae-angliae,Symphyotrichum,novae-angliae
Symphyotrichum novi-belgii,Symphyotrichum,novi-belgii
Symphyotrichum novi-belgii var. elodes,Symphyotrichum,novi-belgii
Symphyotrichum novi-belgii var. novi-belgii,Symphyotrichum,novi-belgii
Symphyotrichum ontarionis,Symphyotrichum,ontarionis
Symphyotrichum oolentangiense,Symphyotrichum,oolentangiense
Symphyotrichum patens var. patens,Symphyotrichum,patens
Symphyotrichum phlogifolium,Symphyotrichum,phlogifolium
Symphyotrichum pilosum,Symphyotrichum,pilosum
Symphyotrichum pilosum var. pilosum,Symphyotrichum,pilosum
Symphyotrichum pilosum var. pringlei,Symphyotrichum,pilosum
Symphyotrichum praealtum,Symphyotrichum,praealtum
Symphyotrichum prenanthoides,Symphyotrichum,prenanthoides
Symphyotrichum puniceum var. puniceum,Symphyotrichum,puniceum
Symphyotrichum racemosum,Symphyotrichum,racemosum
Symphyotrichum subulatum var. subulatum,Symphyotrichum,subulatum
Symphyotrichum tenuifolium var. tenuifolium,Symphyotrichum,tenuifolium
Symphyotrichum tradescantii,Symphyotrichum,tradescantii
Symphyotrichum undulatum,Symphyotrichum,undulatum
Symphyotrichum urophyllum,Symphyotrichum,urophyllum
Symphytum asperum,Symphytum,asperum
Symphytum asperum × S. officinale = S. ×uplandicum,Symphytum,asperum × S. officinale = S. ×uplandicum
Symphytum officinale,Symphytum,officinale
Symplocarpus foetidus,Symplocarpus,foetidus
Symplocos paniculata,Symplocos,paniculata
Symplocos tinctoria,Symplocos,tinctoria
Syringa reticulata ssp. reticulata,Syringa,reticulata
Syringa vulgaris,Syringa,vulgaris
Taeniatherum caput-medusae ssp. caput-medusae,Taeniatherum,caput-medusae
Taenidia integerrima,Taenidia,integerrima
Tagetes erecta,Tagetes,erecta
Tagetes patula,Tagetes,patula
Tamarix parviflora,Tamarix,parviflora
Tanacetum balsamita,Tanacetum,balsamita
Tanacetum coccineum,Tanacetum,coccineum
Tanacetum parthenium,Tanacetum,parthenium
Tanacetum vulgare,Tanacetum,vulgare
Taraxacum erythrospermum,Taraxacum,erythrospermum
